"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Games","United States",30,"2013","June",40000,"no"
"Games","United Kingdom",30,"2014","July",1396,"no"
"Technology","United States",30,"2014","November",40000,"no"
"Film & Video","United States",41,"2015","October",15000,"yes"
"Publishing","United States",37,"2014","October",10000,"yes"
"Publishing","Sweden",58,"2016","November",3525,"yes"
"Music","United States",14,"2016","August",2000,"yes"
"Film & Video","United States",61,"2011","March",2000,"no"
"Technology","Canada",60,"2014","June",38962,"no"
"Music","United Kingdom",30,"2014","November",5443,"no"
"Fashion","United States",30,"2013","May",1500,"no"
"Food","United States",25,"2012","August",4000,"no"
"Music","United States",30,"2015","June",11000,"no"
"Music","Norway",30,"2016","January",12665,"no"
"Food","Norway",30,"2015","November",12665,"no"
"Food","Canada",30,"2014","August",2338,"no"
"Music","Germany",30,"2015","December",24438,"yes"
"Games","United States",60,"2014","May",10000,"no"
"Games","United Kingdom",51,"2013","January",2791,"no"
"Music","United States",60,"2011","October",5000,"no"
"Design","Norway",28,"2017","January",31663,"no"
"Technology","United Kingdom",30,"2015","May",27913,"no"
"Design","United States",30,"2013","August",15000,"no"
"Journalism","Norway",30,"2015","September",1900,"no"
"Film & Video","United Kingdom",20,"2014","July",4187,"yes"
"Photography","United Kingdom",60,"2014","July",2791,"no"
"Film & Video","Germany",30,"2015","June",1833,"no"
"Games","United Kingdom",10,"2016","February",4187,"yes"
"Fashion","Australia",42,"2015","December",11406,"yes"
"Technology","United States",30,"2012","October",2500,"yes"
"Publishing","United States",23,"2016","October",3600,"yes"
"Art","United States",30,"2013","May",1100,"yes"
"Games","Denmark",30,"2016","December",3281,"yes"
"Theater","United Kingdom",30,"2015","August",6280,"yes"
"Dance","United States",19,"2015","November",10000,"yes"
"Art","Canada",31,"2017","March",5455,"no"
"Music","United States",30,"2016","April",5000,"yes"
"Games","United States",30,"2017","February",4000,"yes"
"Publishing","United States",30,"2014","September",20000,"yes"
"Games","United States",30,"2015","August",4900,"yes"
"Food","Italy",45,"2017","April",24438,"no"
"Publishing","United States",42,"2014","June",6500,"yes"
"Fashion","United States",60,"2012","August",1500,"no"
"Design","Singapore",30,"2017","December",18892,"yes"
"Film & Video","United States",61,"2011","February",2000,"no"
"Fashion","Australia",30,"2015","December",1521,"no"
"Comics","United States",14,"2012","August",2500,"yes"
"Games","United States",55,"2015","November",5000,"no"
"Crafts","France",19,"2017","January",1222,"no"
"Games","Canada",30,"2016","January",7792,"no"
"Food","United States",44,"2011","May",8000,"yes"
"Games","United States",30,"2015","June",10000,"yes"
"Theater","United States",7,"2014","March",5500,"no"
"Music","United States",33,"2012","March",2000,"yes"
"Technology","Australia",30,"2015","September",15208,"no"
"Publishing","United States",30,"2016","May",2000,"no"
"Games","Mexico",20,"2017","April",2649,"no"
"Games","United States",32,"2015","September",15000,"yes"
"Fashion","United States",60,"2012","June",7000,"no"
"Publishing","United States",30,"2012","February",3469,"no"
"Games","United States",15,"2013","July",15000,"no"
"Art","Mexico",30,"2017","April",1324,"no"
"Film & Video","United Kingdom",21,"2014","March",4187,"yes"
"Art","United States",43,"2013","June",5000,"yes"
"Publishing","United States",30,"2015","February",6900,"no"
"Film & Video","United States",42,"2017","February",8000,"no"
"Games","United Kingdom",30,"2016","November",2093,"no"
"Food","Canada",30,"2015","March",11689,"no"
"Technology","United Kingdom",30,"2017","October",27913,"no"
"Games","United States",30,"2017","May",50000,"no"
"Art","United States",30,"2015","March",5000,"no"
"Fashion","United States",30,"2012","July",7500,"no"
